index,yearID,teamID,W,L
2731,2013,MIN,66,96
2732,2013,NYA,85,77
2733,2013,NYN,74,88
2734,2013,OAK,96,66
2735,2013,PHI,73,89
2736,2013,PIT,94,68
2737,2013,SDN,76,86
2738,2013,SEA,71,91
2739,2013,SFN,76,86
2740,2013,SLN,97,65
2741,2013,TBA,92,71
2742,2013,TEX,91,72
2743,2013,TOR,74,88
2744,2013,WAS,86,76
2745,2014,ARI,64,98
2746,2014,ATL,79,83
2747,2014,BAL,96,66
2748,2014,BOS,71,91
2749,2014,CHA,73,89
2750,2014,CHN,73,89
2751,2014,CIN,76,86
2752,2014,CLE,85,77
2753,2014,COL,66,96
2754,2014,DET,90,72
2755,2014,HOU,70,92
2756,2014,KCA,89,73
2757,2014,LAA,98,64
2758,2014,LAN,94,68
2759,2014,MIA,77,85
2760,2014,MIL,82,80
2761,2014,MIN,70,92
2762,2014,NYA,84,78
2763,2014,NYN,79,83
2764,2014,OAK,88,74
2765,2014,PHI,73,89
2766,2014,PIT,88,74
2767,2014,SDN,77,85
2768,2014,SEA,87,75
2769,2014,SFN,88,74
2770,2014,SLN,90,72
2771,2014,TBA,77,85
2772,2014,TEX,67,95
2773,2014,TOR,83,79
2774,2014,WAS,96,66
2775,2015,ARI,79,83
2776,2015,ATL,67,95
2777,2015,BAL,81,81
2778,2015,BOS,78,84
2779,2015,CHA,76,86
2780,2015,CHN,97,65
2781,2015,CIN,64,98
2782,2015,CLE,81,80
2783,2015,COL,68,94
2784,2015,DET,74,87
2785,2015,HOU,86,76
2786,2015,KCA,95,67
2787,2015,LAA,85,77
2788,2015,LAN,92,70
2789,2015,MIA,71,91
2790,2015,MIL,68,94
2791,2015,MIN,83,79
2792,2015,NYA,87,75
2793,2015,NYN,90,72
2794,2015,OAK,68,94
2795,2015,PHI,63,99
2796,2015,PIT,98,64
2797,2015,SDN,74,88
2798,2015,SEA,76,86
2799,2015,SFN,84,78
2800,2015,SLN,100,62
2801,2015,TBA,80,82
2802,2015,TEX,88,74
2803,2015,TOR,93,69
2804,2015,WAS,83,79
2805,2016,ARI,69,93
2806,2016,ATL,68,93
2807,2016,BAL,89,73
2808,2016,BOS,93,69
2809,2016,CHA,78,84
2810,2016,CHN,103,58
2811,2016,CIN,68,94
2812,2016,CLE,94,67
2813,2016,COL,75,87
2814,2016,DET,86,75
2815,2016,HOU,84,78
2816,2016,KCA,81,81
2817,2016,LAA,74,88
2818,2016,LAN,91,71
2819,2016,MIA,79,82
2820,2016,MIL,73,89
2821,2016,MIN,59,103
2822,2016,NYA,84,78
2823,2016,NYN,87,75
2824,2016,OAK,69,93
2825,2016,PHI,71,91
2826,2016,PIT,78,83
2827,2016,SDN,68,94
2828,2016,SEA,86,76
2829,2016,SFN,87,75
2830,2016,SLN,86,76
2831,2016,TBA,68,94
2832,2016,TEX,95,67
2833,2016,TOR,89,73
2834,2016,WAS,95,67
